UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1334,M16193,0,299.0,310.3,1558,35.4,223,0,1
1335,L48514,-1,299.0,310.4,1365,49.1,226,1,2
1336,L48515,-1,299.0,310.4,1371,53.8,228,1,2
1337,L48516,-1,298.9,310.3,1583,32.6,230,0,1
1338,H30751,1,298.7,310.2,1613,36.0,0,0,1
1339,L48518,-1,298.6,310.1,1721,27.2,5,0,1
1340,M16199,0,298.6,310.2,1668,31.5,7,0,1
1341,L48520,-1,298.6,310.2,1569,36.3,10,0,1
1342,M16201,0,298.6,310.2,1328,50.5,12,0,1
1343,M16202,0,298.6,310.1,1596,33.0,15,0,1
1344,L48523,-1,298.5,310.2,1676,32.7,18,0,1
1345,L48524,-1,298.5,310.1,1809,28.9,20,0,1
1346,L48525,-1,298.5,310.0,1804,26.1,22,0,1
1347,L48526,-1,298.6,310.1,1533,33.9,24,0,1
1348,L48527,-1,298.7,310.2,1717,27.3,26,0,1
1349,L48528,-1,298.7,310.2,1363,45.5,28,0,1
1350,L48529,-1,298.7,310.2,1402,45.9,30,0,1
1351,L48530,-1,298.7,310.2,1436,47.5,32,0,1
1352,L48531,-1,298.7,310.2,1525,43.7,34,0,1
1353,M16212,0,298.7,310.2,1598,33.3,36,0,1
1354,M16213,0,298.6,310.1,1444,48.1,39,0,1
1355,L48534,-1,298.6,310.0,1334,48.0,42,0,1
1356,M16215,0,298.6,310.0,1681,35.5,44,0,1
1357,L48536,-1,298.6,309.9,1593,37.4,47,0,1
1358,L48537,-1,298.6,309.9,1461,45.7,49,0,1
1359,M16218,0,298.7,310.1,1693,31.9,51,0,1
1360,L48539,-1,298.7,310.2,1404,50.3,54,0,1
1361,H30774,1,298.8,310.2,1707,27.6,56,0,1
1362,M16221,0,298.6,310.1,1458,41.9,61,0,1
1363,L48542,-1,298.6,310.0,1517,41.2,64,0,1
1364,L48543,-1,298.7,310.1,1433,54.6,66,0,1
1365,L48544,-1,298.7,310.2,1566,33.1,68,0,1
1366,L48545,-1,298.7,310.1,1676,33.5,70,0,1
1367,M16226,0,298.7,310.1,1368,56.8,72,0,1
1368,M16227,0,298.8,310.2,1581,37.5,75,0,1
1369,H30782,1,298.8,310.3,1708,27.1,78,0,1
1370,M16229,0,298.7,310.3,1481,41.5,83,0,1
1371,L48550,-1,298.7,310.3,1451,40.0,86,0,1
1372,M16231,0,298.7,310.3,1495,38.7,88,0,1
1373,M16232,0,298.8,310.3,1573,41.8,91,0,1
1374,M16233,0,298.8,310.3,1366,59.0,94,0,1
1375,L48554,-1,298.8,310.3,1553,36.8,97,0,1
1376,M16235,0,298.8,310.3,1528,37.1,99,0,1
1377,M16236,0,298.8,310.2,1527,31.2,102,0,1
1378,L48557,-1,298.8,310.2,1461,46.7,105,0,1
1379,H30792,1,298.8,310.2,1455,44.9,107,0,1
1380,L48559,-1,298.7,310.1,1620,34.8,112,0,1
1381,L48560,-1,298.7,310.1,1786,27.7,114,0,1
1382,M16241,0,298.8,310.2,1583,35.7,116,0,1
1383,L48562,-1,298.8,310.1,1653,30.3,119,0,1
1384,M16243,0,298.9,310.2,1331,49.0,121,0,1
1385,L48564,-1,298.9,310.3,1484,43.8,124,0,1
1386,M16245,0,298.9,310.2,1603,36.1,126,0,1
1387,L48566,-1,298.9,310.2,1445,40.0,129,0,1
1388,L48567,-1,298.9,310.1,1823,26.1,131,0,1
1389,H30802,1,298.9,310.1,1491,45.3,133,0,1
1390,L48569,-1,298.9,310.2,1533,42.8,138,0,1
1391,L48570,-1,298.9,310.2,1409,54.8,140,0,1
1392,L48571,-1,298.9,310.2,2737,8.8,142,1,3
1393,M16252,0,299.0,310.3,1494,46.6,144,0,1
1394,L48573,-1,299.1,310.4,1594,33.3,147,0,1
1395,L48574,-1,299.1,310.4,1527,44.0,149,0,1
1396,L48575,-1,299.1,310.4,1452,39.7,151,0,1
1397,L48576,-1,299.0,310.3,1483,39.2,153,0,1
1398,L48577,-1,299.1,310.2,1569,38.2,155,0,1
1399,L48578,-1,299.1,310.3,1472,46.6,157,0,1
1400,L48579,-1,299.0,310.2,1533,43.5,159,0,1
1401,H30814,1,298.9,310.1,1366,62.7,161,0,1
1402,H30815,1,298.9,310.2,1532,37.7,166,0,1
1403,M16262,0,298.9,310.1,1313,56.8,171,0,1
1404,L48583,-1,299.0,310.2,1372,48.0,174,0,1
1405,M16264,0,298.9,310.1,1555,40.6,176,0,1
1406,L48585,-1,298.9,310.1,1394,42.7,179,0,1
1407,L48586,-1,298.9,310.1,1442,48.0,181,0,1
1408,L48587,-1,298.9,310.0,1564,33.8,183,0,1
1409,L48588,-1,298.9,310.0,1452,48.9,185,0,1
1410,L48589,-1,298.9,310.1,1466,42.5,187,0,1
1411,M16270,0,298.9,310.1,1469,53.2,189,0,1
1412,L48591,-1,298.9,310.1,1944,23.4,192,0,1
1413,M16272,0,298.8,309.9,1415,53.2,194,0,1
1414,M16273,0,298.7,309.8,1528,36.7,197,0,1
1415,M16274,0,298.7,309.8,1570,42.1,200,0,1
1416,L48595,-1,298.7,309.9,1617,33.0,203,0,1
1417,M16276,0,298.7,309.9,2083,18.2,205,0,1
1418,L48597,-1,298.7,309.9,1541,38.5,208,0,1
1419,L48598,-1,298.8,309.9,1320,47.4,210,0,1
1420,L48599,-1,298.7,309.8,1354,53.3,212,1,2
1421,M16280,0,298.8,309.9,1495,35.2,214,0,1
1422,L48601,-1,298.7,309.8,1589,31.8,217,0,1
1423,L48602,-1,298.7,309.8,1530,35.5,0,0,1
1424,L48603,-1,298.7,309.8,1539,33.4,2,0,1
1425,L48604,-1,298.7,309.7,1462,46.8,4,0,1
1426,L48605,-1,298.6,309.7,1356,54.0,6,0,1
1427,M16286,0,298.7,309.7,1622,34.6,8,0,1
1428,L48607,-1,298.7,309.8,1394,40.3,11,0,1
1429,L48608,-1,298.8,309.9,1568,33.7,13,0,1
1430,M16289,0,298.9,310.0,1456,43.8,15,0,1
1431,L48610,-1,298.9,310.0,1378,49.3,18,0,1
1432,M16291,0,298.9,309.9,1404,41.4,20,0,1
1433,L48612,-1,298.8,309.8,1437,42.8,23,0,1
1434,L48613,-1,298.8,309.8,1363,44.0,25,0,1
1435,M16294,0,298.8,309.8,1377,49.6,27,0,1
1436,H30849,1,298.8,309.9,1526,42.1,30,0,1
1437,H30850,1,298.8,309.8,1510,44.2,35,0,1
1438,H30851,1,298.8,309.9,1439,45.2,40,1,1
1439,L48618,-1,298.8,309.9,1482,39.1,45,0,1
1440,M16299,0,298.8,309.8,1534,37.0,47,0,1
1441,M16300,0,298.8,309.9,1741,27.7,50,0,1
1442,L48621,-1,298.8,309.9,1550,38.8,53,0,1
1443,M16302,0,298.8,310.0,1486,38.5,55,0,1
1444,L48623,-1,298.9,310.1,1602,38.2,58,0,1
1445,L48624,-1,299.0,310.2,1477,37.9,60,0,1
1446,L48625,-1,299.0,310.1,1618,29.2,62,0,1
1447,M16306,0,299.0,310.2,1628,35.8,64,0,1
1448,M16307,0,299.0,310.3,1662,33.6,67,0,1
1449,M16308,0,299.0,310.3,1657,31.0,70,0,1
1450,H30863,1,299.0,310.4,1677,30.8,73,0,1
1451,M16310,0,299.0,310.3,1447,39.9,78,0,1
1452,L48631,-1,298.9,310.4,1831,25.4,81,0,1
1453,L48632,-1,299.0,310.3,1584,34.4,83,0,1
1454,L48633,-1,299.1,310.4,1450,40.9,85,0,1
1455,L48634,-1,299.1,310.4,1428,46.9,87,0,1
1456,L48635,-1,299.0,310.4,1382,53.0,89,0,1
1457,L48636,-1,299.0,310.3,1501,43.0,91,0,1
1458,L48637,-1,299.0,310.3,1475,42.4,93,0,1
1459,L48638,-1,298.9,310.3,1364,54.0,95,0,1
1460,L48639,-1,299.0,310.3,1472,36.1,97,0,1
1461,L48640,-1,299.0,310.3,1437,47.8,99,0,1
1462,L48641,-1,298.9,310.2,1491,45.1,101,0,1
1463,L48642,-1,298.9,310.2,1706,27.6,103,0,1
1464,L48643,-1,298.8,310.1,1607,39.5,105,0,1
1465,L48644,-1,298.8,310.0,1412,46.3,107,0,1
1466,L48645,-1,298.7,309.8,1546,40.9,109,0,1
1467,L48646,-1,298.7,309.8,1365,50.5,111,0,1
1468,L48647,-1,298.6,309.8,1544,30.2,113,0,1
1469,M16328,0,298.6,309.8,1419,44.9,115,0,1
1470,L48649,-1,298.6,309.8,1497,41.6,118,0,1
1471,L48650,-1,298.5,309.7,1437,42.6,120,0,1
1472,L48651,-1,298.5,309.6,1421,53.6,122,0,1
1473,M16332,0,298.5,309.6,1438,44.5,124,0,1
1474,M16333,0,298.5,309.5,1315,48.9,127,0,1
1475,M16334,0,298.5,309.5,1366,61.9,130,0,1
1476,M16335,0,298.4,309.5,1519,35.4,133,0,1
1477,L48656,-1,298.4,309.5,1692,28.3,136,0,1
1478,L48657,-1,298.3,309.4,1570,35.6,138,0,1
1479,L48658,-1,298.3,309.4,1568,35.8,140,0,1
1480,L48659,-1,298.2,309.3,1355,43.8,142,0,1
1481,M16340,0,298.2,309.3,2056,18.7,144,0,1
1482,M16341,0,298.2,309.2,1332,60.2,147,0,1
1483,M16342,0,298.1,309.1,1448,52.5,150,0,1
1484,L48663,-1,298.0,308.9,1578,35.6,153,0,1
1485,M16344,0,298.0,309.0,1562,39.2,155,0,1
1486,M16345,0,298.1,309.0,1976,19.3,158,0,1
1487,M16346,0,298.2,309.2,1524,34.6,161,0,1
1488,L48667,-1,298.2,309.1,1429,48.5,164,0,1
1489,L48668,-1,298.2,309.1,1568,36.3,166,0,1
1490,M16349,0,298.2,309.0,1723,26.6,168,0,1
1491,L48670,-1,298.2,309.0,1341,43.8,171,0,1
1492,M16351,0,298.1,308.9,1353,46.2,173,0,1
1493,M16352,0,298.0,308.7,1479,58.5,176,1,3
1494,L48673,-1,298.0,308.8,1496,44.9,179,0,1
1495,M16354,0,298.0,308.7,1377,48.5,181,0,1
1496,H30909,1,297.9,308.5,1383,44.6,184,0,1
1497,L48676,-1,298.0,308.7,1268,69.4,189,1,3
1498,L48677,-1,298.0,308.7,1629,34.3,191,0,1
1499,L48678,-1,298.0,308.8,1790,27.2,193,0,1
1500,M16359,0,298.1,308.8,2206,16.3,195,0,1
1501,M16360,0,298.0,308.7,2101,17.4,198,0,1
1502,M16361,0,298.0,308.7,1436,48.2,201,0,1
1503,L48682,-1,298.0,308.7,1462,48.2,204,0,1
1504,L48683,-1,298.0,308.7,1771,26.2,206,0,1
1505,L48684,-1,298.0,308.7,1506,47.0,208,0,1
1506,L48685,-1,298.0,308.7,1626,36.7,210,0,1
1507,L48686,-1,298.0,308.8,1610,33.7,212,0,1
1508,M16367,0,298.0,308.6,1376,55.7,214,0,1
1509,M16368,0,298.0,308.6,1507,37.3,217,0,1
1510,L48689,-1,298.0,308.5,1429,37.7,220,1,5
1511,M16370,0,298.1,308.7,1547,38.9,0,0,1
1512,L48691,-1,298.1,308.7,1642,30.3,3,0,1
1513,H30926,1,298.0,308.7,1503,36.3,5,0,1
1514,L48693,-1,298.1,308.7,1568,32.9,10,0,1
1515,M16374,0,298.1,308.8,1628,37.6,12,0,1
1516,M16375,0,298.2,308.9,1614,35.5,15,0,1
1517,L48696,-1,298.2,308.9,1278,54.0,18,0,1
1518,M16377,0,298.2,308.9,1408,38.8,20,0,1
1519,H30932,1,298.2,309.0,1371,55.7,23,0,1
1520,M16379,0,298.2,308.9,1512,38.5,28,0,1
1521,L48700,-1,298.3,309.1,1472,40.1,31,0,1
1522,M16381,0,298.2,308.9,1585,34.3,33,0,1
1523,H30936,1,298.2,309.0,1562,37.7,36,0,1
1524,L48703,-1,298.3,309.0,1519,36.9,41,0,1
1525,L48704,-1,298.2,309.0,1601,35.8,43,0,1
1526,L48705,-1,298.2,309.0,2449,13.8,45,0,1
1527,L48706,-1,298.1,309.0,1787,27.6,47,0,1
1528,H30941,1,298.1,309.1,1425,44.5,49,0,1
1529,L48708,-1,298.1,309.0,1559,34.0,54,0,1
1530,L48709,-1,298.1,309.0,1557,36.0,56,0,1
1531,L48710,-1,298.1,309.0,1497,40.5,58,0,1
1532,H30945,1,298.1,309.0,1438,41.4,60,0,1
1533,M16392,0,298.1,308.9,1417,39.2,65,0,1
1534,M16393,0,298.0,308.9,1339,51.4,68,0,1
1535,L48714,-1,298.0,308.8,1757,29.1,71,0,1
1536,L48715,-1,298.0,308.8,1581,36.1,73,0,1
1537,M16396,0,298.2,308.9,1326,54.4,75,0,1
1538,M16397,0,298.4,309.1,1467,39.6,78,0,1
1539,L48718,-1,298.4,309.1,1798,29.6,81,0,1
1540,M16399,0,298.5,309.2,1449,46.4,83,0,1
1541,M16400,0,298.4,309.1,1525,39.3,86,0,1
1542,L48721,-1,298.4,309.0,2304,15.1,89,0,1
1543,L48722,-1,298.3,308.9,1379,54.7,91,0,1
1544,L48723,-1,298.4,308.9,1628,34.9,93,0,1
1545,L48724,-1,298.4,309.0,1474,52.7,95,0,1
1546,M16405,0,298.4,309.0,1544,38.8,97,0,1
1547,L48726,-1,298.4,308.9,1391,48.4,100,0,1
1548,L48727,-1,298.3,308.9,1348,55.5,102,0,1
1549,M16408,0,298.3,308.8,1349,52.1,104,0,1
1550,L48729,-1,298.4,308.9,1706,29.5,107,0,1
1551,L48730,-1,298.4,308.9,1638,32.4,109,0,1
1552,L48731,-1,298.4,308.8,1458,40.1,111,0,1
1553,L48732,-1,298.5,308.9,1781,27.8,113,0,1
1554,L48733,-1,298.5,308.8,1332,59.1,115,0,1
1555,M16414,0,298.4,308.7,1584,31.7,117,0,1
1556,L48735,-1,298.4,308.6,1491,42.0,120,0,1
1557,H30970,1,298.4,308.5,1398,47.1,122,0,1
1558,L48737,-1,298.3,308.4,1585,30.6,127,0,1
1559,M16418,0,298.2,308.3,1476,43.5,129,0,1
1560,L48739,-1,298.2,308.3,1458,41.8,132,0,1
1561,M16420,0,298.2,308.4,1510,39.9,134,0,1
1562,L48741,-1,298.2,308.4,1388,53.8,137,0,1
1563,L48742,-1,298.2,308.3,2216,16.8,139,0,1
1564,L48743,-1,298.2,308.3,1402,51.0,141,0,1
1565,M16424,0,298.0,308.2,2090,19.0,143,0,1
1566,L48745,-1,298.0,308.2,1459,42.1,146,0,1
1567,M16426,0,298.0,308.1,1403,44.8,148,0,1
1568,L48747,-1,298.1,308.2,1521,39.3,151,0,1
1569,L48748,-1,298.2,308.2,1407,47.1,153,0,1
1570,M16429,0,298.1,308.2,1654,35.3,155,0,1
1571,L48750,-1,298.2,308.4,1452,43.5,158,0,1
1572,L48751,-1,298.3,308.4,1528,37.3,160,0,1
1573,L48752,-1,298.2,308.3,1230,59.6,162,0,1
1574,L48753,-1,298.2,308.2,1466,42.4,164,0,1
1575,L48754,-1,298.2,308.2,1478,50.1,166,0,1
1576,L48755,-1,298.2,308.3,2057,18.0,168,0,1
1577,L48756,-1,298.3,308.4,1490,41.7,170,0,1
1578,L48757,-1,298.3,308.4,1484,43.4,172,0,1
1579,L48758,-1,298.3,308.4,1593,37.0,174,0,1
1580,L48759,-1,298.3,308.3,1444,43.8,176,0,1
1581,M16440,0,298.3,308.4,1444,47.5,178,0,1
1582,M16441,0,298.2,308.3,1560,33.0,181,0,1
1583,H30996,1,298.1,308.3,1530,42.0,184,0,1
1584,L48763,-1,298.2,308.4,1310,61.0,189,1,2
1585,M16444,0,298.2,308.3,1639,33.3,191,0,1
1586,L48765,-1,298.2,308.3,1400,48.7,194,0,1
1587,M16446,0,298.3,308.4,1486,44.2,196,0,1
1588,M16447,0,298.2,308.3,1448,43.3,199,0,1
1589,L48768,-1,298.2,308.3,1688,32.0,202,0,1
1590,M16449,0,298.1,308.3,1453,41.5,204,0,1
1591,L48770,-1,298.2,308.4,1497,37.7,207,0,1
1592,L48771,-1,298.2,308.4,1355,49.4,209,0,1
1593,L48772,-1,298.1,308.4,1592,38.2,211,0,1
1594,L48773,-1,298.0,308.3,1544,34.7,213,0,1
1595,M16454,0,298.0,308.2,1373,51.2,215,0,1
1596,L48775,-1,298.0,308.2,1365,52.9,218,1,2
1597,L48776,-1,298.0,308.1,1877,24.3,0,0,1
1598,L48777,-1,297.9,308.1,1531,40.8,2,0,1
1599,L48778,-1,297.9,308.0,1501,36.7,4,0,1
1600,L48779,-1,297.9,308.0,1490,46.2,6,0,1
1601,M16460,0,297.8,307.8,1543,43.7,8,0,1
1602,L48781,-1,297.8,307.8,1597,38.2,11,0,1
1603,H31016,1,297.8,307.9,1600,33.5,13,0,1
1604,M16463,0,297.8,307.8,1622,32.1,18,0,1
1605,L48784,-1,297.8,307.8,1452,39.8,21,0,1
1606,L48785,-1,297.8,307.8,1396,42.5,23,0,1
1607,L48786,-1,297.8,307.7,1505,39.7,25,0,1
1608,L48787,-1,297.8,307.8,1412,48.3,27,0,1
1609,L48788,-1,297.8,307.7,1393,38.0,29,0,1
1610,L48789,-1,297.7,307.7,1581,34.9,31,0,1
1611,L48790,-1,297.8,307.8,1573,37.9,33,0,1
1612,M16471,0,297.8,307.9,1726,27.3,35,0,1
1613,M16472,0,297.9,307.9,1540,39.8,38,0,1
1614,L48793,-1,297.9,308.0,1296,62.9,41,0,1
1615,M16474,0,297.8,307.9,1802,25.8,43,0,1
1616,L48795,-1,297.8,307.9,1447,48.6,46,0,1
1617,H31030,1,297.8,307.8,1662,30.7,48,0,1
1618,L48797,-1,297.8,307.8,1563,34.3,53,0,1
1619,L48798,-1,297.9,307.8,1286,59.5,55,0,1
1620,L48799,-1,297.9,307.7,1590,34.6,57,0,1
1621,L48800,-1,297.9,307.7,1492,43.7,59,0,1
1622,L48801,-1,297.7,307.6,1844,21.9,61,0,1
1623,H31036,1,297.7,307.6,1538,38.3,63,0,1
1624,L48803,-1,297.7,307.6,1921,22.9,68,0,1
1625,M16484,0,297.8,307.8,1310,57.9,70,0,1
1626,L48805,-1,297.9,307.8,1365,46.9,73,0,1
1627,M16486,0,297.9,307.8,1303,59.3,75,0,1
1628,L48807,-1,297.9,307.8,1499,37.5,78,0,1
1629,L48808,-1,297.9,307.8,1451,38.2,80,0,1
1630,M16489,0,297.9,307.9,1336,54.4,82,0,1
1631,L48810,-1,297.9,307.9,1412,44.5,85,0,1
1632,L48811,-1,298.0,308.0,1433,39.2,87,0,1
1633,L48812,-1,297.9,307.9,1426,43.6,89,0,1
1634,L48813,-1,297.9,307.9,1476,45.2,91,0,1
1635,H31048,1,297.9,307.9,1406,58.5,93,0,1
1636,L48815,-1,297.8,307.8,1383,56.5,98,0,1
1637,L48816,-1,297.9,307.8,1505,37.3,100,0,1
1638,L48817,-1,297.9,307.8,1665,33.9,102,0,1
1639,L48818,-1,297.9,307.8,1397,45.0,104,0,1
1640,M16499,0,297.9,307.8,1450,43.5,106,0,1
1641,L48820,-1,298.0,307.8,1567,36.4,109,0,1
1642,M16501,0,298.0,308.0,1555,37.0,111,0,1
1643,H31056,1,298.0,307.8,1588,35.4,114,0,1
1644,L48823,-1,298.0,307.8,1453,37.7,119,0,1
1645,L48824,-1,298.0,307.8,1622,33.3,121,0,1
1646,L48825,-1,297.9,307.8,1538,38.5,123,0,1
1647,M16506,0,297.9,307.7,1527,42.8,125,0,1
1648,L48827,-1,297.8,307.8,1761,28.9,128,0,1
1649,L48828,-1,297.9,307.8,1373,50.2,130,0,1
1650,H31063,1,298.0,307.9,1482,37.8,132,0,1
1651,M16510,0,298.0,307.9,1417,51.0,137,0,1
1652,L48831,-1,298.0,307.8,1414,51.7,140,0,1
1653,H31066,1,297.9,307.8,1635,34.0,142,0,1
1654,L48833,-1,298.0,307.8,1386,57.3,147,0,1
1655,L48834,-1,298.2,308.1,1379,62.3,149,0,1
1656,M16515,0,298.2,308.0,1577,35.9,151,0,1
1657,L48836,-1,298.2,308.1,1532,42.5,154,0,1
1658,M16517,0,298.1,308.0,1374,48.8,156,0,1
1659,H31072,1,298.1,308.0,1570,35.3,159,0,1
1660,L48839,-1,298.1,308.0,1697,31.0,164,0,1
1661,L48840,-1,298.2,308.0,1499,44.1,166,0,1
1662,M16521,0,298.2,308.0,1411,47.2,168,0,1
1663,H31076,1,298.2,307.9,1462,45.5,171,0,1
1664,M16523,0,298.1,307.9,1759,28.6,176,0,1
1665,L48844,-1,298.2,308.0,1535,38.0,179,0,1
1666,H31079,1,298.2,307.9,1491,39.7,181,0,1
1667,L48846,-1,298.2,307.9,1551,36.0,186,0,1
1668,L48847,-1,298.2,307.9,1769,27.2,188,0,1
1669,L48848,-1,298.2,307.9,1551,34.1,190,0,1
1670,L48849,-1,298.2,307.9,1544,31.4,192,0,1
1671,L48850,-1,298.2,307.8,1528,31.1,194,0,1
1672,L48851,-1,298.1,307.9,1614,35.8,196,0,1
1673,L48852,-1,298.1,307.8,1432,49.8,198,0,1
1674,M16533,0,298.1,307.8,1384,43.7,200,0,1
1675,L48854,-1,298.1,307.8,1540,37.8,203,0,1
1676,L48855,-1,298.0,307.7,1407,43.9,205,0,1
1677,H31090,1,297.9,307.6,1418,43.0,207,0,1
1678,M16537,0,297.9,307.5,1647,30.8,212,0,1
1679,L48858,-1,298.0,307.5,1644,32.8,215,0,1
1680,L48859,-1,298.0,307.5,1792,27.9,217,0,1
1681,M16540,0,297.9,307.4,1610,34.6,219,0,1
1682,M16541,0,297.8,307.3,1804,26.0,222,0,1
1683,H31096,1,297.9,307.4,1604,36.1,225,1,5
1684,M16543,0,297.9,307.4,1403,52.8,0,0,1
1685,L48864,-1,297.8,307.3,1438,44.5,3,0,1
1686,L48865,-1,297.9,307.3,1824,26.3,5,0,1
1687,H31100,1,297.9,307.3,1663,28.7,7,0,1
1688,L48867,-1,297.9,307.3,1502,36.7,12,0,1
1689,L48868,-1,297.9,307.4,1606,35.5,14,0,1
1690,L48869,-1,297.9,307.5,1561,37.7,16,0,1
1691,M16550,0,297.9,307.4,1435,42.9,18,0,1
1692,L48871,-1,297.9,307.5,1602,38.3,21,0,1
1693,M16552,0,298.1,307.6,1764,27.7,23,0,1
1694,H31107,1,298.0,307.5,1683,27.8,26,0,1
1695,L48874,-1,298.0,307.5,1618,35.2,31,0,1
1696,L48875,-1,298.0,307.6,1509,41.6,33,0,1
1697,L48876,-1,297.9,307.6,1550,39.0,35,0,1
1698,M16557,0,297.9,307.6,1519,44.0,37,0,1
1699,L48878,-1,297.9,307.6,1481,38.0,40,0,1
1700,L48879,-1,298.1,307.7,1289,48.3,42,0,1
1701,M16560,0,298.0,307.6,1844,23.8,44,0,1
1702,L48881,-1,298.0,307.7,1479,42.5,47,0,1
1703,L48882,-1,298.0,307.7,1430,47.3,49,0,1
1704,M16563,0,298.1,307.8,1636,36.7,51,0,1
1705,M16564,0,298.1,307.8,1503,44.7,54,0,1
1706,M16565,0,298.1,307.8,1608,32.6,57,0,1
1707,L48886,-1,298.2,307.8,1521,42.9,60,0,1
1708,L48887,-1,298.2,307.8,1439,41.6,62,0,1
1709,L48888,-1,298.2,307.8,1627,31.5,64,0,1
1710,L48889,-1,298.2,307.8,1749,26.1,66,0,1
1711,L48890,-1,298.2,307.8,1530,35.9,68,0,1
1712,L48891,-1,298.2,307.8,1355,51.3,70,0,1
1713,L48892,-1,298.3,307.9,1551,33.8,72,0,1
1714,L48893,-1,298.2,307.8,1515,46.7,74,0,1
1715,L48894,-1,298.2,307.8,1388,48.6,76,0,1
1716,L48895,-1,298.2,307.8,1585,34.6,78,0,1
1717,L48896,-1,298.1,307.7,1523,37.7,80,0,1
1718,L48897,-1,298.2,307.6,1369,54.5,82,0,1
1719,M16578,0,298.2,307.7,1681,31.0,84,0,1
1720,L48899,-1,298.2,307.7,1503,38.3,87,0,1
1721,L48900,-1,298.2,307.7,1459,44.5,89,0,1
1722,L48901,-1,298.2,307.7,1688,32.4,91,0,1
1723,M16582,0,298.2,307.7,1952,21.6,93,0,1
1724,L48903,-1,298.2,307.8,2029,19.9,96,0,1
1725,M16584,0,298.3,307.8,1457,52.5,98,0,1
1726,M16585,0,298.3,307.8,1392,50.4,101,0,1
1727,L48906,-1,298.3,307.8,1906,22.1,104,0,1
1728,M16587,0,298.3,307.7,1602,33.4,106,0,1
1729,L48908,-1,298.3,307.7,1465,49.4,109,0,1
1730,M16589,0,298.3,307.7,1439,43.8,111,0,1
1731,M16590,0,298.3,307.8,1330,55.4,114,0,1
1732,M16591,0,298.3,307.9,1485,42.0,117,0,1
1733,H31146,1,298.4,307.9,1700,28.2,120,0,1
1734,L48913,-1,298.4,308.0,1515,42.8,125,0,1
1735,M16594,0,298.5,308.1,1501,39.2,127,0,1
1736,L48915,-1,298.4,308.0,1380,47.6,130,0,1
1737,L48916,-1,298.4,307.9,1544,35.9,132,0,1
1738,L48917,-1,298.4,307.9,1743,27.3,134,0,1
1739,H31152,1,298.4,307.9,1948,21.4,136,0,1
1740,H31153,1,298.5,307.9,1260,54.2,141,0,1
1741,M16600,0,298.5,307.9,1640,33.1,146,0,1
1742,M16601,0,298.5,308.0,1363,49.2,149,0,1
1743,L48922,-1,298.5,308.0,1379,49.6,152,0,1
1744,M16603,0,298.5,308.0,1713,25.8,154,0,1
1745,M16604,0,298.5,308.0,1461,51.9,157,0,1
1746,L48925,-1,298.5,308.0,1624,29.8,160,0,1
1747,L48926,-1,298.4,308.0,1526,41.1,162,0,1
1748,L48927,-1,298.4,307.9,2381,14.2,164,0,1
1749,H31162,1,298.4,307.7,1626,31.1,166,0,4
1750,L48929,-1,298.3,307.7,1576,33.8,171,0,1
1751,M16610,0,298.4,307.8,1617,31.6,173,0,1
1752,L48931,-1,298.3,307.6,1942,20.6,176,0,1
1753,L48932,-1,298.2,307.6,1492,37.2,178,0,1
1754,L48933,-1,298.2,307.5,1470,51.3,180,0,1
1755,M16614,0,298.0,307.4,1463,46.5,182,0,1
1756,L48935,-1,298.0,307.3,1424,46.5,185,0,1
1757,M16616,0,298.1,307.4,1363,60.1,187,0,1
1758,M16617,0,298.1,307.4,1335,56.2,190,0,1
1759,L48938,-1,298.1,307.4,1608,33.9,193,0,1
1760,H31173,1,298.0,307.4,1606,35.2,195,0,1
1761,L48940,-1,298.1,307.5,1684,33.1,200,0,1
1762,L48941,-1,298.1,307.6,1950,20.3,202,0,1
1763,H31176,1,298.2,307.6,1460,48.6,204,0,1
1764,L48943,-1,298.2,307.6,1511,31.0,209,1,5
1765,H31178,1,298.2,307.6,1318,55.7,0,0,1
1766,L48945,-1,298.2,307.6,1368,51.8,5,0,1
1767,M16626,0,298.3,307.7,1717,27.1,7,0,1
1768,M16627,0,298.3,307.7,1520,41.4,10,0,1
1769,M16628,0,298.3,307.8,1485,42.0,13,0,1
1770,L48949,-1,298.4,307.9,1981,23.2,16,0,1
1771,H31184,1,298.4,307.9,1605,31.0,18,0,1
1772,L48951,-1,298.4,307.9,1446,45.3,23,0,1
1773,L48952,-1,298.4,308.0,1508,47.9,25,0,1
1774,L48953,-1,298.5,308.0,1384,59.5,27,0,1
1775,M16634,0,298.5,308.0,1519,37.3,29,0,1
1776,L48955,-1,298.5,308.0,1404,48.1,32,0,1
1777,L48956,-1,298.5,308.1,1564,31.1,34,0,1
1778,H31191,1,298.6,308.2,1555,36.8,36,0,1
1779,L48958,-1,298.6,308.2,1325,54.0,41,0,1
1780,M16639,0,298.6,308.2,1488,44.0,43,0,1
1781,L48960,-1,298.5,308.2,1595,32.3,46,0,1
1782,L48961,-1,298.5,308.1,1662,28.6,48,0,1
1783,L48962,-1,298.4,308.0,1571,37.4,50,0,1
1784,H31197,1,298.3,308.0,1553,41.0,52,0,1
1785,L48964,-1,298.3,308.0,2886,3.8,57,1,3
1786,L48965,-1,298.2,308.0,1538,38.2,59,0,1
1787,L48966,-1,298.4,308.2,1618,33.0,61,0,1
1788,L48967,-1,298.4,308.2,1364,45.9,63,0,1
